nr,naam,plaats,branche,website,email,subject,variant,slug
1,Mufide Hair & Art,Hengelo,kappers,https://www.mufide.nl,info@mufide.nl,Mufide Hair & Art — Gratis quickscan back-up / M365 / security?,TEST-quickscan,01-mufide-hair-art
2,Assink Pure Identity,Hengelo,kappers,https://assinkonline.nl,info@assinkonline.nl,Assink Pure Identity — Gratis quickscan back-up / M365 / security?,TEST-quickscan,02-assink-pure-identity
3,Stralend Huidzorg,Hengelo,schoonheidssalon,https://www.stralendhengelo.nl,info@stralendhengelo.nl,Stralend Huidzorg — Gratis quickscan back-up / M365 / security?,TEST-quickscan,03-stralend-huidzorg
4,Esthetiek Huidverbetering,Hengelo,schoonheidssalon,https://esthetiekhuidverbetering.nl,info@esthetiekhuidverbetering.nl,Esthetiek Huidverbetering — Gratis quickscan back-up / M365 / security?,TEST-quickscan,04-esthetiek-huidverbetering
5,Beauty by Hands of Gold,Hengelo,schoonheidssalon,https://www.beautybyhandsofgold.nl,info@beautybyhandsofgold.nl,Beauty by Hands of Gold — Gratis quickscan back-up / M365 / security?,TEST-quickscan,05-beauty-by-hands-of-gold
6,Het Ahuis Schoonheidssalon,Enschede,schoonheidssalon,https://hetahuis.nl,info@hetahuis.nl,Het Ahuis Schoonheidssalon — Gratis quickscan back-up / M365 / security?,TEST-quickscan,06-het-ahuis-schoonheidssalon
7,Bouwbedrijf Vos,Borne,bouwbedrijf,https://www.bouwbedrijfvosborne.nl,bouwbedrijfvosborne@kpnmail.nl,Bouwbedrijf Vos — Gratis quickscan back-up / M365 / security?,TEST-quickscan,07-bouwbedrijf-vos
8,Bouwbedrijf Poorthuis,Oldenzaal,bouwbedrijf,https://www.poorthuis-bouw.nl,info@poorthuis-bouw.nl,Bouwbedrijf Poorthuis — Gratis quickscan back-up / M365 / security?,TEST-quickscan,08-bouwbedrijf-poorthuis
9,Kleinbouw Twente,Enschede,bouwbedrijf,https://www.kleinbouw-twente.nl,info@kleinbouw-twente.nl,Kleinbouw Twente — Gratis quickscan back-up / M365 / security?,TEST-quickscan,09-kleinbouw-twente
10,Bouwbedrijf De Jong Twente,Hengelo,bouwbedrijf,https://bouwbedrijf-dejong.nl,info@bouwbedrijf-dejong.nl,Bouwbedrijf De Jong Twente — Gratis quickscan back-up / M365 / security?,TEST-quickscan,10-bouwbedrijf-de-jong-twente
11,Bewust Fysio,Hengelo,fysio,https://www.bewustfysio.nl,info@bewustfysio.nl,Bewust Fysio — Gratis quickscan back-up / M365 / security?,TEST-quickscan,11-bewust-fysio
12,Driesprong Fysiotherapeuten,Hengelo,fysio,https://www.driesprong.nl,info@driesprong.nl,Driesprong Fysiotherapeuten — Gratis quickscan back-up / M365 / security?,TEST-quickscan,12-driesprong-fysiotherapeuten
13,Fysiotherapie De Bleek,Enschede,fysio,https://www.fysiodebleek.nl,info@fysio-debleek.nl,Fysiotherapie De Bleek — Gratis quickscan back-up / M365 / security?,TEST-quickscan,13-fysiotherapie-de-bleek
14,Bouwgroep Huiskes,Enschede,bouwbedrijf,https://www.bouwgroephuiskes.nl,info@bouwgroephuiskes.nl,Bouwgroep Huiskes — Gratis quickscan back-up / M365 / security?,TEST-quickscan,14-bouwgroep-huiskes
15,Holtkamp Bouw,Almelo,bouwbedrijf,https://holtkampbouw.nl,info@holtkampbouw.nl,Holtkamp Bouw — Gratis quickscan back-up / M365 / security?,TEST-quickscan,15-holtkamp-bouw
16,Lowik Bouw,Almelo,bouwbedrijf,https://www.lowikbouw.nl,info@lowikbouw.nl,Lowik Bouw — Gratis quickscan back-up / M365 / security?,TEST-quickscan,16-lowik-bouw
17,Renova Twente Bouw,Enschede,bouwbedrijf,https://renova-twente-bouw.com,info@renova-twente-bouw.nl,Renova Twente Bouw — Gratis quickscan back-up / M365 / security?,TEST-quickscan,17-renova-twente-bouw
18,Auto Mulder Hengelo,Hengelo,autobedrijf,https://www.automulderhengelo.nl,info@automulderhengelo.nl,Auto Mulder Hengelo — Gratis quickscan back-up / M365 / security?,TEST-quickscan,18-auto-mulder-hengelo
19,Auto Schiphorst,Almelo,autobedrijf,https://www.auto-schiphorst.nl,verkoop@auto-schiphorst.nl,Auto Schiphorst — Gratis quickscan back-up / M365 / security?,TEST-quickscan,19-auto-schiphorst
20,Autobedrijf Andre,Almelo,autobedrijf,https://autobedrijfandre.nl,info@autobedrijfandre.nl,Autobedrijf Andre — Gratis quickscan back-up / M365 / security?,TEST-quickscan,20-autobedrijf-andre
21,Autobedrijf Leus,Almelo,autobedrijf,https://autobedrijfleus.nl,autobedrijf.leus@gmail.com,"Autobedrijf Leus — IT uit handen, focus op je werk",CONTROL-origineel,21-autobedrijf-leus
22,Autobedrijf Schlichter,Hengelo,autobedrijf,https://www.reneschlichter.nl,info@autobedrijfschlichter.nl,"Autobedrijf Schlichter — IT uit handen, focus op je werk",CONTROL-origineel,22-autobedrijf-schlichter
23,Autobedrijf Ter Kuile,Enschede,autobedrijf,https://www.autoterkuile.nl,info@autoterkuile.nl,"Autobedrijf Ter Kuile — IT uit handen, focus op je werk",CONTROL-origineel,23-autobedrijf-ter-kuile
24,Autohuis Enschede,Enschede,autobedrijf,https://www.autohuis-enschede.nl,info@autohuis-enschede.nl,"Autohuis Enschede — IT uit handen, focus op je werk",CONTROL-origineel,24-autohuis-enschede
25,Autobedrijf EB,Enschede,autobedrijf,https://www.autobedrijfeb.nl,info@autobedrijfeb.nl,"Autobedrijf EB — IT uit handen, focus op je werk",CONTROL-origineel,25-autobedrijf-eb
26,Lak Schadeherstel Twente,Hengelo,autobedrijf,https://www.lakschadehersteltwente.nl,info@lakschadehersteltwente.nl,"Lak Schadeherstel Twente — IT uit handen, focus op je werk",CONTROL-origineel,26-lak-schadeherstel-twente
27,Autoschade Hof van Twente,Goor,autobedrijf,https://autoschadehofvantwente.nl,info@autoschadehofvantwente.nl,"Autoschade Hof van Twente — IT uit handen, focus op je werk",CONTROL-origineel,27-autoschade-hof-van-twente
28,Bouwbedrijf Assink,Haaksbergen,bouwbedrijf,https://bouwbedrijfassink.nl,bouwbedrijfassink@hotmail.nl,"Bouwbedrijf Assink — IT uit handen, focus op je werk",CONTROL-origineel,28-bouwbedrijf-assink
29,Kapsalon ZES,Oldenzaal,kappers,https://kapsalonzes.nl,info@kapsalonzes.nl,"Kapsalon ZES — IT uit handen, focus op je werk",CONTROL-origineel,29-kapsalon-zes
30,Haarstudio Oldenzaal,Oldenzaal,kappers,https://haarstudiooldenzaal.nl,info@haarstudiooldenzaal.nl,"Haarstudio Oldenzaal — IT uit handen, focus op je werk",CONTROL-origineel,30-haarstudio-oldenzaal
31,Kapsalon Sjiek,Enschede,kappers,https://www.sjiekenschede.nl,info@sjiekenschede.nl,"Kapsalon Sjiek — IT uit handen, focus op je werk",CONTROL-origineel,31-kapsalon-sjiek
32,Kapstars,Enschede,kappers,https://www.kapstars.nl,info@kapstars.nl,"Kapstars — IT uit handen, focus op je werk",CONTROL-origineel,32-kapstars
33,Skinns,Almelo,schoonheidssalon,https://skinns.nl,skinns.almelo@outlook.com,"Skinns — IT uit handen, focus op je werk",CONTROL-origineel,33-skinns
34,B Beautiful,Almelo,schoonheidssalon,https://bbeautiful.nl,info@bbeautiful.nl,"B Beautiful — IT uit handen, focus op je werk",CONTROL-origineel,34-b-beautiful
35,Topvorm Twente,Hengelo,fysio,https://topvormtwente.nl,info@topvormtwente.nl,"Topvorm Twente — IT uit handen, focus op je werk",CONTROL-origineel,35-topvorm-twente
36,Fysiocentrum Kamminga,Hengelo,fysio,https://www.fysiocentrumkamminga.nl,info@fysiocentrumkamminga.nl,"Fysiocentrum Kamminga — IT uit handen, focus op je werk",CONTROL-origineel,36-fysiocentrum-kamminga
37,Fysiotherapie Zuid Hengelo,Hengelo,fysio,https://www.fysiotherapiezuidhengelo.nl,info@fysiozuidhengelo.nl,"Fysiotherapie Zuid Hengelo — IT uit handen, focus op je werk",CONTROL-origineel,37-fysiotherapie-zuid-hengelo
38,Fysiotherapie Wooldersteen,Hengelo,fysio,https://www.wooldersteen.nl,fysiotherapie@wooldersteen.nl,"Fysiotherapie Wooldersteen — IT uit handen, focus op je werk",CONTROL-origineel,38-fysiotherapie-wooldersteen
39,Fysiotherapie Hasseler Es,Hengelo,fysio,https://www.fysiotherapiehasseleres.nl,info@fysiotherapiehasseleres.nl,"Fysiotherapie Hasseler Es — IT uit handen, focus op je werk",CONTROL-origineel,39-fysiotherapie-hasseler-es
40,Ehair,Hengelo,kappers,https://ehair.nl,info@ehair.nl,Ehair — Gratis quickscan back-up / M365 / security?,TEST-quickscan,40-ehair
41,Kapsalon Leus,Hengelo,kappers,https://kapsalonleus.nl,info@kapsalonleus.nl,Kapsalon Leus — Gratis quickscan back-up / M365 / security?,TEST-quickscan,41-kapsalon-leus
42,Kapsalon Figaro,Almelo,kappers,https://figaro-almelo.nl,info@figaro-almelo.nl,Kapsalon Figaro — Gratis quickscan back-up / M365 / security?,TEST-quickscan,42-kapsalon-figaro
43,Kapsalon Robin,Almelo,kappers,https://kapsalonrobin.nl,info@kapsalonrobin.nl,Kapsalon Robin — Gratis quickscan back-up / M365 / security?,TEST-quickscan,43-kapsalon-robin
44,Kapsalon Hair Desire,Almelo,kappers,https://www.kapsalonhairdesire.nl,info@kapsalonhairdesire.nl,Kapsalon Hair Desire — Gratis quickscan back-up / M365 / security?,TEST-quickscan,44-kapsalon-hair-desire
45,Kapsalon Silkhair,Enschede,kappers,https://www.kapsalonsilkhair.com,info@kapsalonsilkhair.com,Kapsalon Silkhair — Gratis quickscan back-up / M365 / security?,TEST-quickscan,45-kapsalon-silkhair
46,Berteke Hairstyling,Hengelo,kappers,https://www.berteke.nl,info@berteke.nl,Berteke Hairstyling — Gratis quickscan back-up / M365 / security?,TEST-quickscan,46-berteke-hairstyling
47,Marimorphose,Borne,kappers,https://www.marimorphose.nl,info@marimorphose.nl,Marimorphose — Gratis quickscan back-up / M365 / security?,TEST-quickscan,47-marimorphose
48,Kapsalon Frederique,Borne,kappers,https://www.kapsalon-frederique.nl,info@kapsalon-frederique.nl,Kapsalon Frederique — Gratis quickscan back-up / M365 / security?,TEST-quickscan,48-kapsalon-frederique
49,Kapsalon Esther,Almelo,kappers,https://kapsalon-esther.nl,info@kapsalon-esther.nl,Kapsalon Esther — Gratis quickscan back-up / M365 / security?,TEST-quickscan,49-kapsalon-esther
50,Glam Skin,Enschede,schoonheidssalon,https://www.glamskin.nl,info@glamskin.nl,Glam Skin — Gratis quickscan back-up / M365 / security?,TEST-quickscan,50-glam-skin
51,Schoonheidssalon Femma,Oldenzaal,schoonheidssalon,https://www.schoonheidssalonfemma.nl,info@schoonheidssalonfemma.nl,Schoonheidssalon Femma — Gratis quickscan back-up / M365 / security?,TEST-quickscan,51-schoonheidssalon-femma
52,Beauty Salon Borne,Borne,schoonheidssalon,https://beautysalonborne.nl,info@beautysalonborne.nl,Beauty Salon Borne — Gratis quickscan back-up / M365 / security?,TEST-quickscan,52-beauty-salon-borne
53,Zen & Zuiver,Nijverdal,schoonheidssalon,https://zenenzuiver.nl,info@zenenzuiver.nl,Zen & Zuiver — Gratis quickscan back-up / M365 / security?,TEST-quickscan,53-zen-zuiver
54,Huidinstituut Wierden,Wierden,schoonheidssalon,https://huidinstituutwierden.nl,info@huidinstituutwierden.nl,Huidinstituut Wierden — Gratis quickscan back-up / M365 / security?,TEST-quickscan,54-huidinstituut-wierden
55,Sense Wellness,Rijssen,schoonheidssalon,https://www.sense-wellness.nl,info@sense-wellness.nl,Sense Wellness — Gratis quickscan back-up / M365 / security?,TEST-quickscan,55-sense-wellness
56,Beautyvette,Borne,schoonheidssalon,https://beautyvette.nl,info@beautyvette.nl,Beautyvette — Gratis quickscan back-up / M365 / security?,TEST-quickscan,56-beautyvette
57,Schoonheidssalon Marielle,Goor,schoonheidssalon,https://www.schoonheidssalonmarielle.nl,info@schoonheidssalonmarielle.nl,Schoonheidssalon Marielle — Gratis quickscan back-up / M365 / security?,TEST-quickscan,57-schoonheidssalon-marielle
58,Mystyle Beauty,Almelo,schoonheidssalon,https://www.mystyle-beautyenyoga.nl,info@mystyle-beautyenyoga.nl,Mystyle Beauty — Gratis quickscan back-up / M365 / security?,TEST-quickscan,58-mystyle-beauty
59,Puur Ilse,Almelo,schoonheidssalon,https://www.puur-ilse.nl,info@puur-ilse.nl,Puur Ilse — Gratis quickscan back-up / M365 / security?,TEST-quickscan,59-puur-ilse
60,Haafkes Goor,Goor,bouwbedrijf,https://www.haafkesgoor.nl,info@haafkesgoor.nl,"Haafkes Goor — IT uit handen, focus op je werk",CONTROL-origineel,60-haafkes-goor
61,Bouwbedrijf Homan,Hengelo,bouwbedrijf,https://www.bouwbedrijfhoman.nl,info@bouwbedrijfhoman.nl,"Bouwbedrijf Homan — IT uit handen, focus op je werk",CONTROL-origineel,61-bouwbedrijf-homan
62,Bouwbedrijf Kormelink,Haaksbergen,bouwbedrijf,https://www.kormelinkbouw.nl,info@kormelinkbouw.nl,"Bouwbedrijf Kormelink — IT uit handen, focus op je werk",CONTROL-origineel,62-bouwbedrijf-kormelink
63,Van Ommeren Kleinbouw,Enschede,bouwbedrijf,https://www.vanommerenkleinbouw.nl,info@vanommerenkleinbouw.nl,"Van Ommeren Kleinbouw — IT uit handen, focus op je werk",CONTROL-origineel,63-van-ommeren-kleinbouw
64,Extra Bouwen,Enschede,bouwbedrijf,https://extrabouwen.nl,info@extrabouwen.nl,"Extra Bouwen — IT uit handen, focus op je werk",CONTROL-origineel,64-extra-bouwen
65,Hogenhout Bouw,Enschede,bouwbedrijf,https://hogenhoutbouw.nl,info@hogenhoutbouw.nl,"Hogenhout Bouw — IT uit handen, focus op je werk",CONTROL-origineel,65-hogenhout-bouw
66,Bouwbedrijf Hulst,Enschede,bouwbedrijf,https://bouwbedrijf-hulst.nl,info@bouwbedrijf-hulst.nl,"Bouwbedrijf Hulst — IT uit handen, focus op je werk",CONTROL-origineel,66-bouwbedrijf-hulst
67,Fysio Berflo,Hengelo,fysio,https://www.fysioberflo.nl,info@fysioberflo.nl,"Fysio Berflo — IT uit handen, focus op je werk",CONTROL-origineel,67-fysio-berflo
68,Fysiotherapie Noordman,Enschede,fysio,https://www.fysiotherapienoordman.nl,info@fysiotherapienoordman.nl,"Fysiotherapie Noordman — IT uit handen, focus op je werk",CONTROL-origineel,68-fysiotherapie-noordman
69,Verdipark Fysio,Almelo,fysio,https://verdiparkfysio.nl,info@verdiparkfysio.nl,"Verdipark Fysio — IT uit handen, focus op je werk",CONTROL-origineel,69-verdipark-fysio
70,Acacia Fysio,Almelo,fysio,https://acaciaplein.nl,info@acaciaplein.nl,"Acacia Fysio — IT uit handen, focus op je werk",CONTROL-origineel,70-acacia-fysio
